scenario,replicate,seed,posterior,family,K,param,estimate,truth,rel_bias_pct,marginal_ll,mean_ess,n_steps_run,converged,secs,cpu_secs
dense,0,3000,free,gaussian,1,CL,2.980658549246719,3.0,-0.6447150251093733,-198.95652513532366,1054.0554993960745,4250,True,2.1541528701782227,1.944918
dense,0,3000,free,gaussian,1,V,30.487379157670283,30.0,1.6245971922342761,-198.95652513532366,1054.0554993960745,4250,True,2.1541528701782227,1.944918
dense,0,3000,free,gaussian,1,ka,1.191273160097924,1.2,-0.727236658506325,-198.95652513532366,1054.0554993960745,4250,True,2.1541528701782227,1.944918
dense,0,3000,free,gaussian,1,om_CL,0.3254100398367606,0.3,8.4700132789202,-198.95652513532366,1054.0554993960745,4250,True,2.1541528701782227,1.944918
dense,0,3000,free,gaussian,1,om_V,0.1985201188674704,0.2,-0.7399405662648073,-198.95652513532366,1054.0554993960745,4250,True,2.1541528701782227,1.944918
dense,0,3000,free,gaussian,1,om_ka,0.27661637731854455,0.4,-30.845905670363866,-198.95652513532366,1054.0554993960745,4250,True,2.1541528701782227,1.944918
dense,0,3000,free,gaussian,1,sigma,0.2174472693422681,0.2,8.723634671134045,-198.95652513532366,1054.0554993960745,4250,True,2.1541528701782227,1.944918
dense,0,3000,free,gaussian,8,CL,2.9384144778235624,3.0,-2.052850739214588,-194.05409727323968,1586.9370916795567,2500,True,1.447510004043579,1.4114940000000002
dense,0,3000,free,gaussian,8,V,30.18726134284122,30.0,0.6242044761374052,-194.05409727323968,1586.9370916795567,2500,True,1.447510004043579,1.4114940000000002
dense,0,3000,free,gaussian,8,ka,1.141460642561531,1.2,-4.878279786539078,-194.05409727323968,1586.9370916795567,2500,True,1.447510004043579,1.4114940000000002
dense,0,3000,free,gaussian,8,om_CL,0.3339204983424787,0.3,11.306832780826246,-194.05409727323968,1586.9370916795567,2500,True,1.447510004043579,1.4114940000000002
dense,0,3000,free,gaussian,8,om_V,0.21038294079480035,0.2,5.191470397400171,-194.05409727323968,1586.9370916795567,2500,True,1.447510004043579,1.4114940000000002
dense,0,3000,free,gaussian,8,om_ka,0.3254447080990848,0.4,-18.6388229752288,-194.05409727323968,1586.9370916795567,2500,True,1.447510004043579,1.4114940000000002
dense,0,3000,free,gaussian,8,sigma,0.204988957144693,0.2,2.4944785723464977,-194.05409727323968,1586.9370916795567,2500,True,1.447510004043579,1.4114940000000002
dense,0,3000,free,gaussian,64,CL,2.882260635069071,3.0,-3.9246454976976284,-193.23283885200618,1574.2199528052283,4750,True,8.486645936965942,8.353496
dense,0,3000,free,gaussian,64,V,30.122279160960076,30.0,0.40759720320025394,-193.23283885200618,1574.2199528052283,4750,True,8.486645936965942,8.353496
dense,0,3000,free,gaussian,64,ka,1.1538831111910073,1.2,-3.8430740674160564,-193.23283885200618,1574.2199528052283,4750,True,8.486645936965942,8.353496
dense,0,3000,free,gaussian,64,om_CL,0.3314459634937694,0.3,10.481987831256479,-193.23283885200618,1574.2199528052283,4750,True,8.486645936965942,8.353496
dense,0,3000,free,gaussian,64,om_V,0.21444185214650843,0.2,7.22092607325421,-193.23283885200618,1574.2199528052283,4750,True,8.486645936965942,8.353496
dense,0,3000,free,gaussian,64,om_ka,0.377514700622121,0.4,-5.621324844469755,-193.23283885200618,1574.2199528052283,4750,True,8.486645936965942,8.353496
dense,0,3000,free,gaussian,64,sigma,0.1999363980478429,0.2,-0.031800976078549814,-193.23283885200618,1574.2199528052283,4750,True,8.486645936965942,8.353496
dense,0,3000,amortized,gaussian,1,CL,2.9802286917925978,3.0,-0.6590436069134084,-212.82564790161112,1084.8925482293266,23250,True,12.873901128768921,12.675562000000001
dense,0,3000,amortized,gaussian,1,V,29.87416069185378,30.0,-0.419464360487396,-212.82564790161112,1084.8925482293266,23250,True,12.873901128768921,12.675562000000001
