scenario,replicate,seed,posterior,family,K,param,estimate,truth,rel_bias_pct,marginal_ll,mean_ess,n_steps_run,converged,secs,cpu_secs
nonlinear,0,3000,free,gaussian,1,Vmax,7.925825960360077,8.0,-0.927175495499033,-97.56703436646825,1492.2782738688459,2000,True,52.9190719127655,52.530447
nonlinear,0,3000,free,gaussian,1,Km,2.0481385416513964,2.0,2.406927082569821,-97.56703436646825,1492.2782738688459,2000,True,52.919081926345825,52.530447
nonlinear,0,3000,free,gaussian,1,V,30.76766016913834,30.0,2.5588672304611273,-97.56703436646825,1492.2782738688459,2000,True,52.91908502578735,52.530447
nonlinear,0,3000,free,gaussian,1,om_Vmax,0.35876977335477556,0.3,19.58992445159186,-97.56703436646825,1492.2782738688459,2000,True,52.91908812522888,52.530447
nonlinear,0,3000,free,gaussian,1,om_Km,0.07197107414682823,0.3,-76.00964195105725,-97.56703436646825,1492.2782738688459,2000,True,52.919089794158936,52.530447
nonlinear,0,3000,free,gaussian,1,om_V,0.17781837706665476,0.2,-11.090811466672623,-97.56703436646825,1492.2782738688459,2000,True,52.91909193992615,52.530447
nonlinear,0,3000,free,gaussian,1,sigma,0.2687395288776278,0.2,34.369764438813895,-97.56703436646825,1492.2782738688459,2000,True,52.91909384727478,52.530447
nonlinear,1,3001,free,gaussian,1,Vmax,5.680626581709078,8.0,-28.99216772863652,-97.09212345424245,2451.0911002999205,21000,True,1493.5160369873047,530.847984
nonlinear,1,3001,free,gaussian,1,Km,1.0007487679504137,2.0,-49.96256160247932,-97.09212345424245,2451.0911002999205,21000,True,1493.5160429477692,530.847984
nonlinear,1,3001,free,gaussian,1,V,29.5265920048642,30.0,-1.5780266504526708,-97.09212345424245,2451.0911002999205,21000,True,1493.5160460472107,530.847984
nonlinear,1,3001,free,gaussian,1,om_Vmax,0.3262963131486757,0.3,8.765437716225234,-97.09212345424245,2451.0911002999205,21000,True,1493.516048192978,530.847984
nonlinear,1,3001,free,gaussian,1,om_Km,0.014574155039670168,0.3,-95.14194832010993,-97.09212345424245,2451.0911002999205,21000,True,1493.5160510540009,530.847984
nonlinear,1,3001,free,gaussian,1,om_V,0.20478556871545875,0.2,2.3927843577293686,-97.09212345424245,2451.0911002999205,21000,True,1493.5160529613495,530.847984
nonlinear,1,3001,free,gaussian,1,sigma,0.20498848900910083,0.2,2.494244504550408,-97.09212345424245,2451.0911002999205,21000,True,1493.5160539150238,530.847984
nonlinear,2,3002,free,gaussian,1,Vmax,6.008013679227134,8.0,-24.899829009660824,-82.41785025103701,2811.919292769077,23500,True,1482.9443850517273,584.6978300000001
nonlinear,2,3002,free,gaussian,1,Km,1.2363945032855412,2.0,-38.18027483572294,-82.41785025103701,2811.919292769077,23500,True,1482.9443891048431,584.6978300000001
nonlinear,2,3002,free,gaussian,1,V,29.22004464112622,30.0,-2.5998511962459383,-82.41785025103701,2811.919292769077,23500,True,1482.944391965866,584.6978300000001
nonlinear,2,3002,free,gaussian,1,om_Vmax,0.26914052302352026,0.3,-10.286492325493242,-82.41785025103701,2811.919292769077,23500,True,1482.9443938732147,584.6978300000001
nonlinear,2,3002,free,gaussian,1,om_Km,0.023524102356634744,0.3,-92.15863254778841,-82.41785025103701,2811.919292769077,23500,True,1482.944396018982,584.6978300000001
nonlinear,2,3002,free,gaussian,1,om_V,0.1811026714223861,0.2,-9.44866428880696,-82.41785025103701,2811.919292769077,23500,True,1482.9443979263306,584.6978300000001
nonlinear,2,3002,free,gaussian,1,sigma,0.21033725415247206,0.2,5.168627076236026,-82.41785025103701,2811.919292769077,23500,True,1482.9443991184235,584.6978300000001
