replicate,method,CL,V,ka,om_CL,om_V,om_ka,sigma,ofv,converged,n_steps,cpu_secs,wall_secs,wall_secs_subprocess_total,truth_CL,truth_V,truth_ka,truth_om_CL,truth_om_V,truth_om_ka,truth_sigma
0,vi_K1,3.0112258509833905,29.665068055272346,1.22370717602135,0.319040743941615,0.21733480929939572,0.3306725764717138,0.22306948602660617,461.2549007411749,True,14000.0,5.565235,5.835683107376099,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
0,vi_K64,2.951904871605764,28.83719603404782,1.2458544451079343,0.3233433901169593,0.2397475866933341,0.4362942142357657,0.2028554273932508,447.9795935827063,True,2000.0,5.663136000000001,4.543046951293945,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
0,foce,3.009099246835434,29.499753866634933,1.1948915933668984,0.3190122930219217,0.2377248417261446,0.4198222574936713,0.2049142401501013,-877.0078899111733,,,10.869000000000002,13.258,15.382308959960938,3.0,30.0,1.2,0.3,0.2,0.4,0.2
0,saem,2.9842435249639547,29.26911144284831,1.2023063879969798,0.3216236286578466,0.2356124327928938,0.4338844957922411,0.2051639266178347,491.9173051819473,,,12.68,14.144,16.215433835983276,3.0,30.0,1.2,0.3,0.2,0.4,0.2
1,vi_K1,3.235702593473318,30.531496656157103,1.1388742613459575,0.3135665419218981,0.1707965272904729,0.2378595715116386,0.21592998078937714,361.9992473482165,True,7250.0,2.6655309999999997,2.6663689613342285,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
1,vi_K64,3.1941352359514763,29.79308582946353,1.1108299385666658,0.3195145324125255,0.1923641499505464,0.3283678086923717,0.19374367413100949,342.08742408930254,True,3500.0,8.879750000000001,6.805474042892456,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
1,foce,3.2179455521475857,29.95934796006318,1.1215287462959778,0.3167005429367036,0.1893925958841071,0.3342433354830266,0.1955122424079839,-979.5792446163406,,,11.672,13.541,15.315864086151123,3.0,30.0,1.2,0.3,0.2,0.4,0.2
1,saem,3.1970114390671753,29.815918673021717,1.1229451664545205,0.3204412922627695,0.1884483035202859,0.3343348275654275,0.1957153526926909,383.32729504841177,,,12.585,13.989,16.072431802749634,3.0,30.0,1.2,0.3,0.2,0.4,0.2
2,vi_K1,3.010795155466339,30.175034339887915,1.1843343641386905,0.27654148656839794,0.039739416596225575,0.45199305072235507,0.22974621829843458,385.0680451183134,True,24250.0,8.738517999999996,8.847527027130127,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
2,vi_K64,2.9281091685011984,31.042451437080476,1.1883700414349576,0.2948584625708292,0.15489087904635399,0.398185615779929,0.21088525402358707,355.04123300145085,True,12500.0,31.43076,24.170482873916626,,3.0,30.0,1.2,0.3,0.2,0.4,0.2
2,foce,3.0213002369777504,30.766768548647185,1.1898675571715227,0.2889028763888533,0.1601667845457401,0.3919115382810113,0.207748817110569,-970.2410061343282,,,10.872,12.848,14.750679969787598,3.0,30.0,1.2,0.3,0.2,0.4,0.2
