replicate,seed,ll_reduced,ll_full,dofv,converged_reduced,converged_full,n_steps_reduced,n_steps_full,secs,CL_reduced,V_reduced,ka_reduced,om_CL_reduced,om_V_reduced,sigma_reduced,CL_full,V_full,ka_full,om_CL_full,om_V_full,om_ka_full,sigma_full,sigma_diff
0,5000,-105.7280028678839,-105.55257821341951,0.35084930892878674,True,True,2250,17750,74.04123878479004,3.037973960594398,30.565631057745357,1.2630817245235546,0.30694391323576414,0.1764472781566097,0.19904139329555762,3.012182958353304,30.527993065760107,1.2646765342741562,0.3062498208518493,0.17394021903497756,0.007843750210390318,0.1984649663801504,-0.0005764269154072132
1,5001,-116.40836710410602,-116.3316694936058,0.15339522100043723,True,True,2250,11000,47.33028507232666,2.989753043533332,29.86333259299074,1.134224076178548,0.29114721009155964,0.20456920922724275,0.19913687967164206,2.9094035886473777,29.628868835628722,1.137370021974836,0.29497036241440505,0.1997430396472215,0.009369935295745908,0.20050437495693182,0.0013674952852897604
2,5002,-113.28706310951036,-113.49507269380945,-0.4160191685981829,True,True,5250,13500,67.61986494064331,2.917327184292064,29.393713313424072,1.2522156015816817,0.28129805385916923,0.19293712255787976,0.20312502704822522,2.8606275266711383,29.836539382799007,1.2311033841979822,0.2764823444973826,0.19740035345697857,0.03073914682124003,0.20182552191605133,-0.0012995051321738893
3,5003,-120.7367395884082,-120.54184141759387,0.38979634162865295,True,True,3000,18000,76.84549236297607,2.9285404524014633,30.978337973964077,1.2561541128505442,0.31071576666510936,0.20588601596441705,0.20008621856643807,2.969197385916597,30.9392467161285,1.24449116938519,0.3077100102611567,0.2074539232010606,0.011495931306955386,0.20023848842402925,0.00015226985759117517
4,5004,-135.55596287763314,-135.76710022163957,-0.4222746880128625,True,True,2500,23000,94.43044114112854,3.1069812703292454,30.04848041010682,1.1724285455635841,0.25353184637525034,0.2081304443153346,0.21063364146700675,3.051857692628958,29.975408343287956,1.1785750697792539,0.25737583176352985,0.21037921504027707,0.02862839299120133,0.20923282588414505,-0.001400815582861703
5,5005,-133.07886136329174,-133.40404789296537,-0.6503730593472596,True,True,2250,8750,38.70685315132141,3.0826223733616955,29.566509931005736,1.177146565624279,0.28916922674805884,0.1972322032701996,0.20591971459422878,3.049536681532508,29.454947080516835,1.1647535028634506,0.28802175705053434,0.20081992979768365,0.014107851311134704,0.20579219081763822,-0.00012752377659056013
6,5006,-131.01799976103518,-130.2730288334592,1.489941855151983,True,True,5000,15000,72.23706412315369,3.0375620233596186,29.327711228607516,1.1792804675442554,0.3120084968236193,0.21429159441729093,0.1990524541928099,2.903692212721064,29.329631464708953,1.183878142559311,0.3183089541701642,0.21366361304293657,0.019584529951587555,0.20040281922913658,0.001350365036326684
7,5007,-134.90772402568598,-134.58323604597098,0.648975959430004,True,True,2000,13500,55.22842001914978,2.8100148207764835,29.89550541320817,1.2679701355587978,0.31276153653234906,0.20316040300656119,0.2051321787014354,2.882606839781799,29.90478313800019,1.2763479153159538,0.3140387000525978,0.20431948200415476,0.04265359257358877,0.20475586353852085,-0.0003763151629145589
8,5008,-103.15899539833714,-102.89739047197581,0.5232098527226583,True,True,2000,14750,61.69647789001465,2.9423170399308254,29.581825628972425,1.1685194021623693,0.26704193375850005,0.18142584121137897,0.20094187072236766,2.9061628289011723,29.33117791175022,1.1853405703250552,0.27010680331170644,0.18196714864878502,0.07157170314650602,0.19848478801812536,-0.0024570827042423027
9,5009,-143.04729137990864,-142.99073840471758,0.11310595038213478,True,True,4500,9500,51.38909602165222,3.0475935789599937,29.7483478617155,1.2006099426774126,0.25945772986057486,0.22637155261896819,0.21160904656534046,3.044838821893963,29.749274544519203,1.1855840121364138,0.25839761872407513,0.22635732442752413,0.011703768098921022,0.2089238791737387,-0.002685167391601767
