,scenario,posterior,family,K,param,mean_bias_pct,sd_bias_pct,n_estimates
0,dense,amortized,gaussian,1,om_CL,-2.14,7.93,30
1,dense,amortized,gaussian,1,om_V,-25.58,29.33,30
2,dense,amortized,gaussian,1,om_ka,-17.35,21.74,30
3,dense,amortized,gaussian,8,om_CL,-0.3,6.76,30
4,dense,amortized,gaussian,8,om_V,-6.0,12.07,30
5,dense,amortized,gaussian,8,om_ka,-6.11,9.63,30
6,dense,amortized,gaussian,64,om_CL,-0.1,7.11,30
7,dense,amortized,gaussian,64,om_V,-1.86,10.43,30
8,dense,amortized,gaussian,64,om_ka,-2.0,8.26,30
9,dense,free,flow,1,om_CL,-0.08,7.15,30
10,dense,free,flow,1,om_V,-1.02,10.11,30
11,dense,free,flow,1,om_ka,-3.0,8.77,30
12,dense,free,flow,8,om_CL,-0.07,7.35,30
13,dense,free,flow,8,om_V,-1.21,10.32,30
14,dense,free,flow,8,om_ka,-1.52,8.44,30
15,dense,free,flow,64,om_CL,0.16,6.99,30
16,dense,free,flow,64,om_V,-0.58,10.55,30
17,dense,free,flow,64,om_ka,-0.79,8.27,30
18,dense,free,gaussian,1,om_CL,-1.04,7.19,30
19,dense,free,gaussian,1,om_V,-19.58,23.19,30
20,dense,free,gaussian,1,om_ka,-16.94,17.98,30
21,dense,free,gaussian,8,om_CL,0.02,7.07,30
22,dense,free,gaussian,8,om_V,-5.67,11.98,30
23,dense,free,gaussian,8,om_ka,-5.4,9.62,30
24,dense,free,gaussian,64,om_CL,-0.0,7.22,30
25,dense,free,gaussian,64,om_V,-1.73,11.07,30
26,dense,free,gaussian,64,om_ka,-0.96,8.06,30
27,sparse,amortized,gaussian,1,om_CL,-1.19,8.63,30
28,sparse,amortized,gaussian,1,om_V,-81.85,12.81,30
29,sparse,amortized,gaussian,1,om_ka,-14.82,26.86,30
30,sparse,amortized,gaussian,8,om_CL,-2.1,8.15,30
31,sparse,amortized,gaussian,8,om_V,-17.92,24.74,30
32,sparse,amortized,gaussian,8,om_ka,-25.12,33.03,30
33,sparse,amortized,gaussian,64,om_CL,-1.1,7.57,30
34,sparse,amortized,gaussian,64,om_V,-2.83,12.41,30
35,sparse,amortized,gaussian,64,om_ka,-5.57,21.98,30
36,sparse,free,flow,1,om_CL,-1.16,7.51,30
37,sparse,free,flow,1,om_V,-0.93,11.02,30
38,sparse,free,flow,1,om_ka,-19.27,19.96,30
39,sparse,free,flow,8,om_CL,-0.9,7.54,30
40,sparse,free,flow,8,om_V,-1.7,12.03,30
41,sparse,free,flow,8,om_ka,-18.06,26.08,30
42,sparse,free,flow,64,om_CL,-0.67,7.63,30
43,sparse,free,flow,64,om_V,-0.02,10.54,30
44,sparse,free,flow,64,om_ka,-5.21,20.92,30
45,sparse,free,gaussian,1,om_CL,0.23,7.83,30
46,sparse,free,gaussian,1,om_V,-83.05,15.61,30
47,sparse,free,gaussian,1,om_ka,-5.38,26.65,30
48,sparse,free,gaussian,8,om_CL,-1.71,8.32,30
49,sparse,free,gaussian,8,om_V,-17.43,26.43,30
50,sparse,free,gaussian,8,om_ka,-24.26,33.21,30
51,sparse,free,gaussian,64,om_CL,-0.42,7.39,30
52,sparse,free,gaussian,64,om_V,-2.65,11.17,30
53,sparse,free,gaussian,64,om_ka,-5.12,21.34,30
