Sampling design,Posterior,Variational family,$K$,Parameter,Mean bias (%),SD bias (%),n
dense,amortized,gaussian,1,$CL$,0.17,2.81,30
dense,amortized,gaussian,1,$V$,0.76,2.15,30
dense,amortized,gaussian,1,$k_a$,1.34,4.65,30
dense,amortized,gaussian,1,$\sigma$,14.93,8.2,30
dense,amortized,gaussian,8,$CL$,0.24,2.52,30
dense,amortized,gaussian,8,$V$,-0.04,2.32,30
dense,amortized,gaussian,8,$k_a$,0.34,4.44,30
dense,amortized,gaussian,8,$\sigma$,0.79,3.8,30
dense,amortized,gaussian,64,$CL$,-0.27,2.55,30
dense,amortized,gaussian,64,$V$,-0.11,2.24,30
dense,amortized,gaussian,64,$k_a$,0.86,4.28,30
dense,amortized,gaussian,64,$\sigma$,-0.32,3.81,30
dense,free,flow,1,$CL$,-0.54,3.04,30
dense,free,flow,1,$V$,0.31,2.27,30
dense,free,flow,1,$k_a$,0.15,4.16,30
dense,free,flow,1,$\sigma$,0.96,3.31,30
dense,free,flow,8,$CL$,-0.09,2.44,30
dense,free,flow,8,$V$,0.02,2.28,30
dense,free,flow,8,$k_a$,0.1,4.06,30
dense,free,flow,8,$\sigma$,0.11,4.09,30
dense,free,flow,64,$CL$,-0.52,2.48,30
dense,free,flow,64,$V$,-0.2,2.5,30
dense,free,flow,64,$k_a$,0.9,4.39,30
dense,free,flow,64,$\sigma$,-0.28,3.8,30
dense,free,gaussian,1,$CL$,0.13,2.86,30
dense,free,gaussian,1,$V$,0.82,2.28,30
dense,free,gaussian,1,$k_a$,1.3,4.63,30
dense,free,gaussian,1,$\sigma$,8.73,4.37,30
dense,free,gaussian,8,$CL$,0.02,3.03,30
dense,free,gaussian,8,$V$,-0.14,2.35,30
dense,free,gaussian,8,$k_a$,0.06,4.59,30
dense,free,gaussian,8,$\sigma$,0.39,3.83,30
dense,free,gaussian,64,$CL$,-0.33,2.9,30
dense,free,gaussian,64,$V$,0.21,2.62,30
dense,free,gaussian,64,$k_a$,0.24,4.65,30
dense,free,gaussian,64,$\sigma$,-0.68,3.64,30
sparse,amortized,gaussian,1,$CL$,1.37,3.2,30
sparse,amortized,gaussian,1,$V$,-0.69,3.07,30
sparse,amortized,gaussian,1,$k_a$,-2.64,6.22,30
sparse,amortized,gaussian,1,$\sigma$,38.12,9.86,30
sparse,amortized,gaussian,8,$CL$,0.36,3.16,30
sparse,amortized,gaussian,8,$V$,-0.08,3.19,30
sparse,amortized,gaussian,8,$k_a$,-0.92,6.22,30
sparse,amortized,gaussian,8,$\sigma$,12.41,9.11,30
sparse,amortized,gaussian,64,$CL$,0.15,3.07,30
sparse,amortized,gaussian,64,$V$,-0.13,3.29,30
sparse,amortized,gaussian,64,$k_a$,0.47,6.57,30
sparse,amortized,gaussian,64,$\sigma$,1.49,9.08,30
sparse,free,flow,1,$CL$,0.16,2.76,30
sparse,free,flow,1,$V$,0.24,3.06,30
sparse,free,flow,1,$k_a$,-0.44,5.85,30
sparse,free,flow,1,$\sigma$,6.58,8.71,30
sparse,free,flow,8,$CL$,-0.1,2.49,30
sparse,free,flow,8,$V$,0.29,2.88,30
sparse,free,flow,8,$k_a$,0.18,6.36,30
sparse,free,flow,8,$\sigma$,5.06,8.67,30
sparse,free,flow,64,$CL$,-0.1,2.68,30
sparse,free,flow,64,$V$,0.04,3.11,30
sparse,free,flow,64,$k_a$,0.68,6.39,30
sparse,free,flow,64,$\sigma$,1.45,8.57,30
sparse,free,gaussian,1,$CL$,0.88,2.68,30
sparse,free,gaussian,1,$V$,-1.02,3.03,30
sparse,free,gaussian,1,$k_a$,-2.75,6.18,30
sparse,free,gaussian,1,$\sigma$,33.35,9.43,30
sparse,free,gaussian,8,$CL$,0.73,2.72,30
sparse,free,gaussian,8,$V$,-0.17,3.37,30
sparse,free,gaussian,8,$k_a$,-0.72,6.39,30
sparse,free,gaussian,8,$\sigma$,11.08,9.61,30
sparse,free,gaussian,64,$CL$,-0.16,2.84,30
sparse,free,gaussian,64,$V$,-0.04,3.16,30
sparse,free,gaussian,64,$k_a$,0.8,6.44,30
sparse,free,gaussian,64,$\sigma$,1.02,9,30
