Posterior,Variational family,$K$,Parameter,Mean estimate,Truth,Mean bias (%),n,Fraction converged
free,gaussian,1,$K_m$,1.96,2,-1.984,20,1
free,gaussian,1,$V$,30.145,30,0.483,20,1
free,gaussian,1,$V_{\max}$,8.011,8,0.134,20,1
free,gaussian,1,$\omega_V$,0.192,0.2,-3.929,20,1
free,gaussian,1,$\omega_{V_{\max}}$,0.301,0.3,0.352,20,1
free,gaussian,1,$\sigma$,0.201,0.2,0.719,20,1
free,gaussian,8,$K_m$,1.976,2,-1.196,20,1
free,gaussian,8,$V$,30.113,30,0.376,20,1
free,gaussian,8,$V_{\max}$,7.898,8,-1.279,20,1
free,gaussian,8,$\omega_V$,0.198,0.2,-1.066,20,1
free,gaussian,8,$\omega_{V_{\max}}$,0.3,0.3,0.129,20,1
free,gaussian,8,$\sigma$,0.198,0.2,-1.062,20,1
free,gaussian,64,$K_m$,1.983,2,-0.867,20,1
free,gaussian,64,$V$,30.299,30,0.996,20,1
free,gaussian,64,$V_{\max}$,7.886,8,-1.421,20,1
free,gaussian,64,$\omega_V$,0.2,0.2,0.137,20,1
free,gaussian,64,$\omega_{V_{\max}}$,0.299,0.3,-0.207,20,1
free,gaussian,64,$\sigma$,0.196,0.2,-2.043,20,1
