Dataset,Parameter,$K_{low}$,Estimate at $K_{low}$,$K_{high}$,Estimate at $K_{high}$,"Difference, low vs high (%)"
theophylline,$CL$,1,0.03997808234668524,64,0.04033401326070833,-0.88
theophylline,$V$,1,0.4624260144796536,64,0.4517957541038435,2.35
theophylline,$k_a$,1,1.285871545824862,64,1.3432511476026092,-4.27
theophylline,$\omega_{CL}$,1,0.2449826753381065,64,0.25468847097044006,-3.81
theophylline,$\omega_V$,1,0.09214265956742076,64,0.1127060108431509,-18.25
theophylline,$\omega_{k_a}$,1,0.6463371431773433,64,0.6819586125133786,-5.22
theophylline,$\sigma$,1,0.1801019692209916,64,0.1718191712865529,4.82
warfarin,$CL$,1,0.13248491908746993,64,0.12950158354695876,2.3
warfarin,$V$,1,7.938745771567575,64,8.019921779494958,-1.01
warfarin,$k_a$,1,0.6168926858265219,64,0.6366073514523212,-3.1
warfarin,$\omega_{CL}$,1,0.27832304325870283,64,0.27619184936518104,0.77
warfarin,$\omega_V$,1,0.18953987929835384,64,0.20738125469804564,-8.6
warfarin,$\omega_{k_a}$,1,0.811148050786541,64,0.9777563030380608,-17.04
warfarin,$\sigma$,1,0.20722814196884928,64,0.20294629165150083,2.11
